"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"2745","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2746","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2747","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2748","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2749","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2750","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2751","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2752","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2753","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2754","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2755","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2756","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2757","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2758","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2759","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2760","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2761","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2762","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2763","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2764","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2765","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2766","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2767","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2768","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2769","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2770","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2771","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2772","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2773","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2774","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2775","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2776","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2777","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2778","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2779","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2780","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2781","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2782","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2783","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2784","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2785","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2786","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2787","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2788","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2789","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2790","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2791","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2792","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2793","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2794","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2795","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2796","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2797","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2798","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2799","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2800","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2801","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2802","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2803","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2804","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2805","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2806","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2807","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2808","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2809","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2810","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2811","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2812","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2813","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2814","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2815","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2816","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2817","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2818","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2819","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2820","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2821","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2822","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2823","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2824","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2825","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2826","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2827","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2828","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2829","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2830","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2831","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2832","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2833","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2834","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2835","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2836","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2837","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
